Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6545 MVC = 0.2728 AVO = 0.3360
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.586034402
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.087929656		3.887903571	2.856648790	1.323318854	0.586094608	2.163491456	0.000000000
0.088928857		3.901518273	2.870134090	1.336612782	0.599297093	2.176890560	0.000000000
0.089928058		3.915955893	2.884433975	1.350708883	0.613295765	2.191098629	0.000000000
0.090927258		3.931231803	2.899563675	1.365622166	0.628105530	2.206130794	0.000000000
0.091926459		3.947359517	2.915536573	1.381365824	0.643739492	2.222000352	0.000000000
0.092925659		3.964350680	2.932364205	1.397951232	0.660208946	2.238718766	0.000000000
0.093924860		3.982214924	2.950056112	1.415387795	0.677523233	2.256295516	0.000000000
0.094924061		4.000959882	2.968619855	1.433682972	0.695689764	2.274738118	0.000000000
0.095923261		4.020590898	2.988060730	1.452841988	0.714713728	2.294051836	0.000000000
0.096922462		4.041111757	3.008382491	1.472868545	0.734598806	2.314240400	0.000000000
0.097921663		4.062522742	3.029585420	1.493762932	0.755345288	2.335304096	0.000000000
0.098920863		4.084823222	3.051668897	1.515524543	0.776952577	2.357242310	0.000000000
0.099920064		4.108009981	3.074629744	1.538150253	0.799417575	2.380051888	0.000000000
0.100919265		4.132077353	3.098462351	1.561634546	0.822734806	2.403727264	0.000000000
0.101918465		4.157018938	3.123160388	1.585971188	0.846898089	2.428262151	0.000000000
0.102917666		4.182824921	3.148714141	1.611150618	0.871897933	2.453646903	0.000000000
0.103916867		4.209482521	3.175110958	1.637160378	0.897721975	2.479868958	0.000000000
0.104916067		4.236981980	3.202341181	1.663990958	0.924360776	2.506918724	0.000000000
0.105915268		4.265306690	3.230388369	1.691626168	0.951798267	2.534779874	0.000000000
0.106914468		4.294440421	3.259236458	1.720050187	0.980018745	2.563436453	0.000000000
0.107913669		4.324365006	3.288867463	1.749245304	1.009004629	2.592870600	0.000000000
0.108912870		4.355060996	3.319262130	1.779192555	1.038737098	2.623063195	0.000000000
0.109912070		4.386507464	3.350399743	1.809871538	1.069195898	2.653993661	0.000000000
0.110911271		4.418682286	3.382258399	1.841260680	1.100359615	2.685640245	0.000000000
0.111910472		4.451562079	3.414814950	1.873337181	1.132205619	2.717979957	0.000000000
0.112909672		4.485122414	3.448045211	1.906077221	1.164710264	2.750988778	0.000000000
