Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.079936051		-4.556104998	3.355678949	1.123219655	0.480469444	0.100815762	0.000000000
0.080935252		-4.548481969	3.361307054	1.128750368	0.485975009	0.106887616	0.000000000
0.081934452		-4.540454137	3.367368078	1.134703922	0.491900427	0.113379573	0.000000000
0.082933653		-4.531998992	3.373888660	1.141106406	0.498271630	0.120316926	0.000000000
0.083932854		-4.523094949	3.380894564	1.147983051	0.505113700	0.127724091	0.000000000
0.084932054		-4.513721559	3.388410398	1.155357960	0.512450596	0.135624349	0.000000000
0.085931255		-4.503859531	3.396459627	1.163254111	0.520305161	0.144039842	0.000000000
0.086930456		-4.493490897	3.405064354	1.171693155	0.528698917	0.152991382	0.000000000
0.087929656		-4.482599022	3.414245311	1.180695397	0.537652048	0.162498433	0.000000000
0.088928857		-4.471168643	3.424021800	1.190279744	0.547183351	0.172579063	0.000000000
0.089928058		-4.459186283	3.434411200	1.200463217	0.557309747	0.183249470	0.000000000
0.090927258		-4.446639607	3.445429730	1.211261708	0.568047033	0.194524716	0.000000000
0.091926459		-4.433518227	3.457091462	1.222689002	0.579408918	0.206417789	0.000000000
0.092925659		-4.419813052	3.469409143	1.234757588	0.591407815	0.218940374	0.000000000
0.093924860		-4.405516843	3.482393445	1.247477927	0.604054129	0.232102164	0.000000000
0.094924061		-4.390623916	3.496053354	1.260858824	0.617356614	0.245911219	0.000000000
0.095923261		-4.375130225	3.510396103	1.274907376	0.631322329	0.260373896	0.000000000
0.096922462		-4.359033368	3.525427045	1.289628832	0.645956496	0.275494751	0.000000000
0.097921663		-4.342332605	3.541149743	1.305026694	0.661262601	0.291276608	0.000000000
0.098920863		-4.325028749	3.557566016	1.321102757	0.677242432	0.307720614	0.000000000
0.099920064		-4.307124180	3.574675908	1.337857075	0.693896050	0.324826213	0.000000000
0.100919265		-4.288622854	3.592477695	1.355287974	0.711221797	0.342591153	0.000000000
0.101918465		-4.269530247	3.610968048	1.373392211	0.729216453	0.361011616	0.000000000
0.102917666		-4.249853261	3.630142027	1.392164963	0.747875233	0.380082240	0.000000000
0.103916867		-4.229600202	3.649993108	1.411599857	0.767191808	0.399796143	0.000000000
0.104916067		-4.208780763	3.670513388	1.431689172	0.787158511	0.420145077	0.000000000
0.105915268		-4.187407100	3.691695976	1.452426177	0.807768656	0.441120927	0.000000000
